Date              C           SP
20040507      -0.016628     -0.013725
20040510      -0.028039     -0.010540
20040511       0.006166      0.007662
20040512       0.013570      0.001671
20040513      -0.007558     -0.000766
20040514      -0.006745     -0.000675
20040517      -0.017306     -0.010587
20040518       0.006465      0.006817
20040519      -0.003322     -0.002574
20040520       0.006222      0.000468
20040521       0.001325      0.004012
20040524       0.000882      0.001692
20040525       0.024680      0.016104
20040526       0.000860      0.001698
20040527      -0.000430      0.005686
20040528      -0.001935     -0.000535
20040601       0.007323      0.000464
20040602       0.005559      0.003380
20040603      -0.014246     -0.007422
20040604       0.004098      0.005248
20040607       0.021053      0.015964
20040608       0.001473      0.001543
20040609      -0.011555     -0.009499
20040610       0.006376      0.004543
20040614      -0.012883     -0.009837
20040615       0.005991      0.005972
20040616       0.000000      0.001369
20040617       0.001276     -0.001332
20040618       0.008921      0.002624
20040621      -0.006737     -0.004159
20040622      -0.004027      0.003636
20040623       0.005320      0.008507
20040624      -0.002540     -0.002981
20040625      -0.006791     -0.005453
20040628      -0.005983     -0.000952
20040629      -0.004084      0.002515
20040630       0.003669      0.004084
20040701      -0.010108     -0.010431
20040702      -0.005866     -0.003153
20040706      -0.006774     -0.008148
20040707       0.003960      0.001899
20040708      -0.010081     -0.008244
20040709      -0.003099      0.003336
20040712      -0.002887      0.001384
20040713       0.008909      0.000709
20040714      -0.004415     -0.003291
20040715      -0.019734     -0.004301
20040716      -0.013345     -0.004789
20040719       0.008482     -0.000445
20040720       0.001364      0.007058
20040721      -0.002497     -0.013340
20040722       0.015020      0.002706
20040723      -0.006502     -0.009701
20040726      -0.011284     -0.001970
20040727       0.002054      0.009935
20040728       0.004784      0.000539
20040729       0.012922      0.004574
20040730      -0.004291      0.001172
20040802       0.005217      0.004448
20040803      -0.006318     -0.006262
20040804       0.008174     -0.000964
20040805      -0.012838     -0.016320
20040806      -0.014602     -0.015481
20040809       0.006483      0.001175
20040810       0.016333      0.012974
20040811       0.003848     -0.003012
20040812      -0.010146     -0.011675
20040813       0.002506      0.001477
20040816       0.017269      0.013655
20040817       0.008711      0.002196
20040818       0.010629      0.012443
20040819      -0.003944     -0.003598
20040820       0.010779      0.006525
20040823      -0.002829     -0.002431
20040824       0.002182      0.000465
20040825       0.008275      0.008000
20040826       0.003456      0.000118
20040827       0.005596      0.002425
20040830      -0.006635     -0.007781
20040831       0.003663      0.004631
20040901      -0.002791      0.001512
20040902       0.011625      0.011212
20040903      -0.003192     -0.004185
20040907       0.007899      0.006887
20040908      -0.008261     -0.004486
20040909       0.002777      0.001890
20040910       0.006177      0.004954
20040913      -0.005080      0.001691
20040914       0.004043      0.002229
20040915      -0.004450     -0.007055
20040916       0.004257      0.002794
20040917      -0.004875      0.004495
